Date,Site,Subsite,Station,Genus,Species,Weight,Recapture,Sex,Tag_Number,Latitude,Logitude,Elevation,*NA_Exracted ,SNV ,Bartonella,Borrelia,Rickettsia,Notes,
21-Jun-14,6,1,13,Neotoma,mexicana,230,No,Male,,,,,,,,,,ESCAPED,
21-Jun-14,6,1,14,Neotoma,mexicana,125,No,Female,EAR 244,,,,,,,,,,
21-Jun-14,6,1,25,Peromyscus,maniculatus,27,No,Female,EAR 242,,,,,,,,,,
21-Jun-14,6,3,1,Peromyscus,maniculatus,,No,Female,,,,,,,,,,"PREGNANT, DOA",
22-Jun-14,6,1,11,Neotoma,mexicana,130,No,130,EAR 286,,,,,,,,,LACTATING,
22-Jun-14,6,1,6,Neotoma,mexicana,190,No,Female,EAR 287,,,,,,,,,LACTATING,
22-Jun-14,6,1,106B,Peromyscus,maniculatus,22,No,Female,EAR 277,,,,,,,,,,
22-Jun-14,6,1,3,Peromyscus,maniculatus,26,No,Male,EAR 276 ,,,,,,,,,SCROTAL,
22-Jun-14,6,3,15,Peromyscus,maniculatus,27,No,Female,EAR 284,,,,,,,,,EAR SCARING,
22-Jun-14,6,1,25,Neotoma,mexicana,,,,,,,,,,,,,EACAPE,
22-Jun-14,6,1,14A,Neotoma,mexicana,170,No,,,,,,,,,,,DOA --SHORT TAIL FOR NEME,
21-Jul-14,8,1,6,Tamias,dorsalis,58,No,Female,89543,,,,,,,,,TAMIUS MINIMUS,
21-Jul-14,8,3,4,Tamias,dorsalis,64,No,Female,89511,,,,,,,,,,
21-Jul-14,8,2,6,Tamias,dorsalis,40,No,Female,89587,,,,,,,,,,
21-Jul-14,8,2,21,,VOLE,39,No,Female,EAR 281,,,,,,,,,RNA ONLY,
21-Jul-14,8,2,24,Peromyscus,maniculatus,18,No,Male,EAR 280,,,,,,,,,,
21-Jul-14,8,1,16,Peromyscus,maniculatus,19,No,Female,EAR 279,,,,,,,,,,
21-Jul-14,8,4,2,Peromyscus,maniculatus,21,No,Male,EAR 278,,,,,,,,,,
22-Jul-14,8,3,2,Tamias,dorsalis,,,,,,,,,,,,,ESCAPE,
22-Jul-14,8,3,14,Tamias,dorsalis,64,No,Female,89503,,,,,,,,,,
22-Jul-14,8,3,19,Tamias,minimus,34,No,Male,98522,,,,,,,,,,
22-Jul-14,8,2,3,Callospermophilus,lateralis,238,No,Female,89546,,,,,,,,,,
22-Jul-14,8,2,23,Tamias,dorsalis,43,No,Female,89579,,,,,,,,,,
22-Jul-14,8,1,11,Tamias,dorsalis,66,No,Female,89590,,,,,,,,,,
22-Jul-14,8,2,5,Tamias,dorsalis,62,No,Male,,,,,,,,,,DOA,
22-Jul-14,8,1,20,Tamias,dorsalis,58,Yes,Female,89543,,,,,,,,,,
22-Jul-14,8,1,24,Peromyscus,maniculatus,12,No,Female,EAR 925,,,,,,,,,,
22-Jul-14,8,1,16,Peromyscus,maniculatus,11,No,Male,EAR 202,,,,,,,,,,
22-Jul-14,8,2,18,Peromyscus,maniculatus,17,No,Female,,,,,,,,,,,
22-Jul-14,8,2,24,Peromyscus,maniculatus,18,Yes,Male,EAR 280,,,,,,,,,DEAD,
22-Jul-14,8,4,2,Peromyscus,maniculatus,21,Yes,Male,EAR 278,,,,,,,,,,
22-Jul-14,8,2,21,,VOLE,39,Yes,Female,EAR 281,,,,,,,,,,
22-Jul-14,8,4,7,Peromyscus,maniculatus,15,No,Male,EAR 227,,,,,,,,,LICE,
22-Jul-14,8,2,4,Peromyscus,maniculatus,20,No,Male,EAR 203,,,,,,,,,,
18-Jun-14,3,14,2,Neotoma,mexicana,182,No,Female,89504,,,,,,,,,,
18-Jun-14,3,7,1,Tamias,dorsalis,58,No,Female,89557,,,,,,,,,,
18-Jun-14,3,4,1,Tamias,dorsalis,55,No,Female,89526,,,,,,,,,,
18-Jun-14,3,6,1,Tamias,dorsalis,57,No,Female,89591,,,,,,,,,,
18-Jun-14,3,17,1,Tamias,dorsalis,58,No,Male,89528,,,,,,,,,SCROTAL,
18-Jun-14,3,14,1,Tamias,dorsalis,60,No,Female,89555,,,,,,,,,,
18-Jun-14,3,12,2,Tamias,dorsalis,50,No,Female,89596,,,,,,,,,,
18-Jun-14,3,12,3,Tamias,dorsalis,57,No,Female,89547,,,,,,,,,,
18-Jun-14,3,19,1,Peromyscus,boylii,25,No,Female,,,,,,,,,,,
18-Jun-14,3,15,1,Peromyscus,maniculatus,15,No,Female,,,,,,,,,,,
18-Jun-14,3,10,1,Peromyscus,maniculatus,18,No,Male,,,,,,,,,,,
18-Jun-14,3,23,1,Peromyscus,maniculatus,16,No,Female,,,,,,,,,,,
18-Jun-14,3,23,2,Peromyscus,maniculatus,10,No,Male,,,,,,,,,,,
18-Jun-14,3,5,1,Peromyscus,boylii,37,No,Female,,,,,,,,,,PREGNANT,
18-Jun-14,3,15,1,Peromyscus,maniculatus,18,No,Male,,,,,,,,,,,
18-Jun-14,3,12,1,Peromyscus,maniculatus,20,No,Male,,,,,,,,,,NO EDTA SAMPLE,
18-Jun-14,3,18,1,Peromyscus,maniculatus,17,No,Male,,,,,,,,,,,
18-Jun-14,3,19,2,Peromyscus,maniculatus,27,No,Male,,,,,,,,,,NO EDTA,
18-Jun-14,3,6,2,Peromyscus,maniculatus,18,No,Male,,,,,,,,,,,
18-Jun-14,3,5,2,Peromyscus,maniculatus,17,No,Male,,,,,,,,,,,
19-Jun-14,3,5,1,Tamias,dorsalis,65,No,Male,89603,,,,,,,,,,
19-Jun-14,3,6,1,Tamias,dorsalis,62,No,Male,89565,,,,,,,,,,
19-Jun-14,3,12,1,Tamias,dorsalis,66,No,Male,89550,,,,,,,,,,
19-Jun-14,3,4,2,Tamias,dorsalis,64,No,Female,89573,,,,,,,,,,
19-Jun-14,3,11,1,Tamias,dorsalis,60,No,Male,89591,,,,,,,,,,
19-Jun-14,3,10,2,Tamias,dorsalis,55,No,Male,89518,,,,,,,,,,
19-Jun-14,3,14,2,Otospermophilus,variegatus,660,No,,,,,,,,,,,NO SAMPLE,
19-Jun-14,3,5,2,Neotoma,mexicana,182,No,,,,,,,,,,,NO SAMPLE ESCAPE,
19-Jun-14,3,4,1,Peromyscus,maniculatus,18,No,Female,,,,,,,,,,,
